Channel 0	Channel 1	Channel 2	Channel 3
-0.150	1.442	2.750	4.348
0.330	1.719	3.095	4.666
0.705	2.099	3.336	4.940
0.972	2.325	3.663	4.965
1.083	2.570	3.897	5.280
1.645	2.879	4.163	5.493
1.638	3.135	4.551	5.913
2.095	3.472	4.695	6.179
2.322	3.654	4.906	6.389
2.684	4.036	5.276	6.510
2.963	4.250	5.625	6.897
3.103	4.298	5.682	6.874
3.428	4.528	5.967	7.225
3.684	4.961	6.091	7.242
3.667	4.931	6.319	7.266
3.886	5.035	6.412	7.395
3.948	5.431	6.417	7.559
4.276	5.495	6.692	7.778
4.384	5.463	6.753	7.763
4.496	5.782	6.824	7.700
4.642	5.691	6.873	7.876
4.719	5.743	6.731	7.767
4.741	5.916	6.854	7.984
4.887	5.800	6.745	7.852
4.837	5.718	6.879	7.756
4.744	5.966	6.669	7.806
4.898	5.736	6.692	7.467
4.951	5.795	6.529	7.603
4.860	5.691	6.441	7.270
4.792	5.567	6.313	7.226
4.682	5.436	6.216	7.088
4.564	5.413	6.197	6.886
4.275	5.152	6.063	6.565
4.255	5.079	5.757	6.382
4.230	4.979	5.596	6.236
3.915	4.623	5.473	5.997
3.724	4.385	5.288	5.749
3.607	4.253	4.814	5.634
3.422	3.968	4.656	5.409
2.950	3.902	4.417	4.884
2.860	3.406	4.229	4.776
2.646	3.141	3.951	4.337
2.219	3.030	3.507	4.289
2.001	2.625	3.164	3.929
1.886	2.448	3.005	3.631
1.424	1.984	2.525	3.122
1.298	1.898	2.285	2.834
0.925	1.344	1.952	2.631
0.683	1.242	1.776	2.214
0.286	0.792	1.518	1.978
-0.019	0.497	1.181	1.755
-0.266	0.173	0.861	1.592
-0.549	0.102	0.473	1.118
-1.005	-0.172	0.265	1.039
-1.327	-0.573	-0.125	0.600
-1.369	-1.030	-0.159	0.296
-1.867	-1.091	-0.568	0.019
-2.027	-1.408	-0.810	-0.140
-2.307	-1.658	-0.932	-0.258
-2.561	-1.879	-1.251	-0.607
-2.945	-2.110	-1.472	-0.647
-3.169	-2.499	-1.662	-0.894
-3.294	-2.660	-1.885	-1.248
-3.463	-2.778	-2.022	-1.217
-3.646	-3.097	-2.194	-1.299
-3.800	-3.123	-2.291	-1.665
-4.045	-3.163	-2.539	-1.607
-4.308	-3.535	-2.708	-1.599
-4.283	-3.478	-2.784	-1.825
-4.635	-3.775	-2.708	-1.722
-4.599	-3.741	-2.830	-1.904
-4.708	-3.784	-2.940	-1.902
-4.693	-3.881	-2.751	-1.699
-4.700	-3.779	-2.904	-1.672
-4.952	-3.979	-2.734	-1.747
-4.817	-3.694	-2.905	-1.572
-4.794	-3.849	-2.832	-1.595
-4.893	-3.803	-2.507	-1.475
-4.715	-3.782	-2.536	-1.403
-4.698	-3.487	-2.414	-1.261
-4.556	-3.455	-2.250	-1.099
-4.657	-3.274	-2.250	-0.857
-4.279	-3.194	-1.889	-0.705
-4.286	-2.945	-1.764	-0.543
-3.958	-2.813	-1.679	-0.320
-4.034	-2.587	-1.233	-0.018
-3.879	-2.504	-1.276	0.232
-3.646	-2.128	-0.796	0.473
-3.253	-1.893	-0.801	0.596
-3.029	-1.719	-0.480	0.851
-2.950	-1.461	-0.174	1.208
-2.638	-1.184	0.242	1.642
-2.328	-0.924	0.527	1.963
-2.172	-0.636	0.699	2.067
-1.894	-0.279	0.895	2.421
-1.477	-0.150	1.339	2.664
-1.263	0.091	1.720	2.941
-0.974	0.596	2.051	3.442
-0.535	0.848	2.195	3.765
-0.386	1.228	2.459	3.883
