Channel 0	Channel 1	Channel 2	Channel 3
0.183	-0.000	-0.807	4.975
0.183	-0.000	-0.311	4.972
0.183	-0.000	0.323	4.971
0.183	-0.000	0.806	4.972
0.183	-0.000	0.911	-0.295
0.183	-0.000	0.731	-0.242
0.183	0.000	0.185	-0.243
0.183	0.000	-0.439	-0.244
0.183	0.000	-0.851	-0.245
0.183	0.000	-0.904	4.978
0.183	0.000	-0.647	4.978
0.183	-0.000	-0.055	4.975
0.183	-0.000	0.555	4.972
0.183	-0.000	0.886	4.972
0.183	-0.000	0.881	-0.256
0.183	-0.000	0.539	-0.244
0.183	0.000	-0.073	-0.245
0.183	0.000	-0.652	-0.244
0.183	0.000	-0.901	-0.244
0.183	-0.000	-0.854	4.980
0.183	-0.000	-0.429	4.979
0.183	0.000	0.205	4.977
0.183	-0.000	0.741	4.974
0.183	-0.000	0.911	4.972
0.183	-0.000	0.799	-0.243
0.183	0.000	0.304	-0.242
0.183	-0.000	-0.325	-0.244
0.183	-0.000	-0.806	-0.246
0.183	0.000	-0.910	4.978
0.183	-0.000	-0.732	4.980
0.183	0.000	-0.178	4.980
0.183	-0.000	0.449	4.979
0.183	-0.000	0.856	4.977
0.183	0.000	0.900	-0.263
0.183	-0.000	0.637	-0.239
0.183	-0.000	0.049	-0.240
0.183	0.000	-0.556	-0.242
0.183	0.000	-0.884	-0.244
0.183	-0.000	-0.885	4.971
0.183	-0.000	-0.536	4.981
0.183	-0.000	0.082	4.981
0.183	-0.000	0.660	4.980
0.183	-0.000	0.903	4.978
0.183	-0.000	0.846	-0.249
0.183	-0.000	0.417	-0.240
0.183	0.000	-0.207	-0.237
0.183	0.000	-0.741	-0.240
0.183	-0.000	-0.908	-0.242
0.183	-0.000	-0.799	4.971
0.183	-0.000	-0.299	4.973
0.183	0.000	0.336	4.981
0.183	-0.000	0.812	4.980
0.183	0.000	0.910	-0.291
0.183	-0.000	0.722	-0.245
0.183	0.000	0.171	-0.243
0.183	-0.000	-0.451	-0.243
0.183	-0.000	-0.854	-0.237
0.183	0.000	-0.901	4.968
0.183	-0.000	-0.635	4.972
0.183	-0.000	-0.040	4.972
0.183	-0.000	0.566	4.973
0.183	-0.000	0.889	4.981
0.183	-0.000	0.879	-0.256
0.183	-0.000	0.527	-0.244
0.183	0.000	-0.087	-0.244
0.183	0.000	-0.661	-0.244
0.183	0.000	-0.902	-0.244
0.183	-0.000	-0.850	4.973
0.183	0.000	-0.413	4.971
0.183	0.000	0.218	4.972
0.183	0.000	0.748	4.972
0.183	0.000	0.910	4.973
0.183	-0.000	0.792	-0.246
0.183	0.000	0.290	-0.243
0.183	-0.000	-0.340	-0.244
0.183	0.000	-0.812	-0.245
0.183	-0.000	-0.910	4.975
0.183	-0.000	-0.722	4.977
0.183	-0.000	-0.163	4.973
0.183	-0.000	0.462	4.972
0.183	-0.000	0.861	4.972
0.183	-0.000	0.898	-0.267
0.183	-0.000	0.627	-0.245
0.183	-0.000	0.036	-0.242
0.183	-0.000	-0.567	-0.244
0.183	0.000	-0.887	-0.244
0.183	-0.000	-0.882	4.979
0.183	-0.000	-0.525	4.979
0.183	-0.000	0.097	4.977
0.183	-0.000	0.670	4.972
0.183	-0.000	0.904	4.972
0.183	-0.000	0.842	-0.247
0.183	-0.000	0.407	-0.243
0.183	-0.000	-0.219	-0.244
0.183	-0.000	-0.749	-0.247
0.183	-0.000	-0.910	-0.244
0.183	-0.000	-0.794	4.981
0.183	-0.000	-0.285	4.980
0.183	0.000	0.350	4.978
0.183	-0.000	0.817	4.976
