Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
48.325	57.094	61.688	70.494
50.984	56.749	62.376	70.950
52.139	58.014	61.688	70.836
51.677	57.094	62.262	67.069
48.904	56.404	61.688	67.869
52.947	56.864	61.574	67.183
48.672	56.519	63.408	69.696
51.331	57.669	61.918	70.152
50.753	56.519	61.459	69.924
52.255	58.589	63.522	68.668
52.716	58.359	65.468	71.406
51.216	55.713	63.408	68.440
52.716	56.058	64.782	71.178
53.408	59.623	64.095	69.239
50.176	56.634	65.125	67.641
50.753	55.713	64.438	67.755
49.135	59.393	62.720	68.783
51.793	58.474	65.239	70.836
51.331	56.404	64.896	69.810
51.216	59.738	65.011	68.212
51.908	57.209	65.011	70.494
51.908	57.209	62.376	68.783
51.216	59.163	64.095	72.204
52.716	57.209	62.606	70.836
51.677	55.943	65.011	70.152
50.176	59.967	62.606	71.976
52.601	57.094	63.866	68.326
53.870	58.819	62.720	71.976
53.293	58.474	62.949	68.897
53.293	58.014	62.835	70.380
52.947	57.784	63.408	70.722
52.832	59.393	65.354	70.380
51.447	59.738	62.376	70.608
52.832	58.014	62.720	72.546
53.985	58.589	63.866	70.494
51.562	59.967	63.751	70.380
51.216	60.656	63.751	71.748
52.601	57.209	65.811	72.204
51.793	58.589	66.383	68.668
54.561	58.934	62.720	70.950
50.984	60.197	65.354	71.520
51.100	60.197	63.179	69.125
53.524	57.899	66.841	70.038
50.869	59.852	66.383	71.862
53.062	59.967	63.866	69.468
50.407	56.864	66.383	72.546
51.331	57.209	65.354	69.011
50.984	58.704	66.269	71.976
52.947	57.094	64.896	69.924
53.639	58.129	64.896	70.038
53.178	59.278	65.811	69.810
52.947	61.230	66.155	73.229
51.562	58.474	63.866	73.571
52.832	61.459	63.637	71.976
51.216	59.048	67.298	69.468
54.792	58.359	64.209	72.660
52.716	58.014	66.040	71.976
52.947	59.278	65.926	72.204
54.792	60.885	66.155	72.546
53.524	58.934	64.209	72.660
53.524	61.344	64.553	70.380
53.754	60.426	66.155	71.064
53.408	57.784	66.841	72.318
53.985	60.541	67.183	70.266
53.870	61.344	67.641	72.318
54.561	57.784	66.612	74.026
52.716	60.082	65.125	70.494
51.908	61.459	67.526	73.115
52.139	59.163	64.209	70.152
54.331	61.344	66.269	71.862
53.293	59.048	65.926	72.090
52.255	59.278	67.183	71.292
55.252	62.147	67.869	73.229
52.947	62.032	64.553	70.380
55.137	60.312	66.726	74.254
52.024	61.918	67.069	71.520
52.255	60.312	65.125	71.406
