Channel 0	Channel 1	Channel 2	Channel 3
-0.150	0.442	0.750	1.348
0.330	0.719	1.095	1.666
0.705	1.099	1.336	1.940
0.972	1.325	1.663	1.965
1.083	1.570	1.897	2.280
1.645	1.879	2.163	2.493
1.638	2.135	2.551	2.913
2.095	2.472	2.695	3.179
2.322	2.654	2.906	3.389
2.684	3.036	3.276	3.510
2.963	3.250	3.625	3.897
3.103	3.298	3.682	3.874
3.428	3.528	3.967	4.225
3.684	3.961	4.091	4.242
3.667	3.931	4.319	4.266
3.886	4.035	4.412	4.395
3.948	4.431	4.417	4.559
4.276	4.495	4.692	4.778
4.384	4.463	4.753	4.763
4.496	4.782	4.824	4.700
4.642	4.691	4.873	4.876
4.719	4.743	4.731	4.767
4.741	4.916	4.854	4.984
4.887	4.800	4.745	4.852
4.837	4.718	4.879	4.756
4.744	4.966	4.669	4.806
4.898	4.736	4.692	4.467
4.951	4.795	4.529	4.603
4.860	4.691	4.441	4.270
4.792	4.567	4.313	4.226
4.682	4.436	4.216	4.088
4.564	4.413	4.197	3.886
4.275	4.152	4.063	3.565
4.255	4.079	3.757	3.382
4.230	3.979	3.596	3.236
3.915	3.623	3.473	2.997
3.724	3.385	3.288	2.749
3.607	3.253	2.814	2.634
3.422	2.968	2.656	2.409
2.950	2.902	2.417	1.884
2.860	2.406	2.229	1.776
2.646	2.141	1.951	1.337
2.219	2.030	1.507	1.289
2.001	1.625	1.164	0.929
1.886	1.448	1.005	0.631
1.424	0.984	0.525	0.122
1.298	0.898	0.285	-0.166
0.925	0.344	-0.048	-0.369
0.683	0.242	-0.224	-0.786
0.286	-0.208	-0.482	-1.022
-0.019	-0.503	-0.819	-1.245
-0.266	-0.827	-1.139	-1.408
-0.549	-0.898	-1.527	-1.882
-1.005	-1.172	-1.735	-1.961
-1.327	-1.573	-2.125	-2.400
-1.369	-2.030	-2.159	-2.704
-1.867	-2.091	-2.568	-2.981
-2.027	-2.408	-2.810	-3.140
-2.307	-2.658	-2.932	-3.258
-2.561	-2.879	-3.251	-3.607
-2.945	-3.110	-3.472	-3.647
-3.169	-3.499	-3.662	-3.894
-3.294	-3.660	-3.885	-4.248
-3.463	-3.778	-4.022	-4.217
-3.646	-4.097	-4.194	-4.299
-3.800	-4.123	-4.291	-4.665
-4.045	-4.163	-4.539	-4.607
-4.308	-4.535	-4.708	-4.599
-4.283	-4.478	-4.784	-4.825
-4.635	-4.775	-4.708	-4.722
-4.599	-4.741	-4.830	-4.904
-4.708	-4.784	-4.940	-4.902
-4.693	-4.881	-4.751	-4.699
-4.700	-4.779	-4.904	-4.672
-4.952	-4.979	-4.734	-4.747
-4.817	-4.694	-4.905	-4.572
-4.794	-4.849	-4.832	-4.595
-4.893	-4.803	-4.507	-4.475
-4.715	-4.782	-4.536	-4.403
-4.698	-4.487	-4.414	-4.261
-4.556	-4.455	-4.250	-4.099
-4.657	-4.274	-4.250	-3.857
-4.279	-4.194	-3.889	-3.705
-4.286	-3.945	-3.764	-3.543
-3.958	-3.813	-3.679	-3.320
-4.034	-3.587	-3.233	-3.018
-3.879	-3.504	-3.276	-2.768
-3.646	-3.128	-2.796	-2.527
-3.253	-2.893	-2.801	-2.404
-3.029	-2.719	-2.480	-2.149
-2.950	-2.461	-2.174	-1.792
-2.638	-2.184	-1.758	-1.358
-2.328	-1.924	-1.473	-1.037
-2.172	-1.636	-1.301	-0.933
-1.894	-1.279	-1.105	-0.579
-1.477	-1.150	-0.661	-0.336
-1.263	-0.909	-0.280	-0.059
-0.974	-0.404	0.051	0.442
-0.535	-0.152	0.195	0.765
-0.386	0.228	0.459	0.883
